"","suburb","breed","n","latitude","longitude"
"1","Acacia Ridge","Akita",1,-27.5873761,153.0270551
"2","Acacia Ridge","Alaskan Malamute",2,-27.5873761,153.0270551
"3","Acacia Ridge","American Staffordshire Terrier",34,-27.5873761,153.0270551
"4","Acacia Ridge","Australian Cattle Dog",35,-27.5873761,153.0270551
"5","Acacia Ridge","Australian Kelpie",33,-27.5873761,153.0270551
"6","Acacia Ridge","Australian Koolie",1,-27.5873761,153.0270551
"7","Acacia Ridge","Australian Shepherd",1,-27.5873761,153.0270551
"8","Acacia Ridge","Australian Silky Terrier",7,-27.5873761,153.0270551
"9","Acacia Ridge","Australian Stumpy Tail Cattle Dog",1,-27.5873761,153.0270551
"10","Acacia Ridge","Australian Terrier",7,-27.5873761,153.0270551
"11","Acacia Ridge","Beagle",5,-27.5873761,153.0270551
"12","Acacia Ridge","Bearded Collie",1,-27.5873761,153.0270551
"13","Acacia Ridge","Bedlington Terrier",1,-27.5873761,153.0270551
"14","Acacia Ridge","Belgian Shepherd",1,-27.5873761,153.0270551
"15","Acacia Ridge","Bichon Frise",4,-27.5873761,153.0270551
"16","Acacia Ridge","Border Collie",29,-27.5873761,153.0270551
"17","Acacia Ridge","Boston Terrier",3,-27.5873761,153.0270551
"18","Acacia Ridge","Boxer",6,-27.5873761,153.0270551
"19","Acacia Ridge","Bull Arab",19,-27.5873761,153.0270551
"20","Acacia Ridge","Bull Terrier",5,-27.5873761,153.0270551
"21","Acacia Ridge","Bulldog",2,-27.5873761,153.0270551
"22","Acacia Ridge","Bullmastiff",10,-27.5873761,153.0270551
"23","Acacia Ridge","Cavalier King Charles Spaniel",4,-27.5873761,153.0270551
"24","Acacia Ridge","Chihuahua",16,-27.5873761,153.0270551
"25","Acacia Ridge","Chihuahua (Smooth Coat)",2,-27.5873761,153.0270551
"26","Acacia Ridge","Cocker Spaniel",6,-27.5873761,153.0270551
"27","Acacia Ridge","Dachshund",10,-27.5873761,153.0270551
"28","Acacia Ridge","Dobermann",1,-27.5873761,153.0270551
"29","Acacia Ridge","Fox Terrier",24,-27.5873761,153.0270551
"30","Acacia Ridge","Fox Terrier (Smooth)",3,-27.5873761,153.0270551
"31","Acacia Ridge","French Bulldog",4,-27.5873761,153.0270551
"32","Acacia Ridge","German Shepherd Dog",29,-27.5873761,153.0270551
"33","Acacia Ridge","Golden Retriever",3,-27.5873761,153.0270551
"34","Acacia Ridge","Great Dane",4,-27.5873761,153.0270551
"35","Acacia Ridge","Greyhound",1,-27.5873761,153.0270551
"36","Acacia Ridge","Hungarian Vizsla",2,-27.5873761,153.0270551
"37","Acacia Ridge","Irish Wolfhound",8,-27.5873761,153.0270551
"38","Acacia Ridge","Jack Russell Terrier",21,-27.5873761,153.0270551
"39","Acacia Ridge","Japanese Spitz",6,-27.5873761,153.0270551
"40","Acacia Ridge","King Charles Spaniel",2,-27.5873761,153.0270551
"41","Acacia Ridge","Labrador Retriever",41,-27.5873761,153.0270551
"42","Acacia Ridge","Lhasa Apso",2,-27.5873761,153.0270551
"43","Acacia Ridge","Maltese",52,-27.5873761,153.0270551
"44","Acacia Ridge","Mastiff",7,-27.5873761,153.0270551
"45","Acacia Ridge","Medium Cross Breed",3,-27.5873761,153.0270551
"46","Acacia Ridge","Neapolitan Mastiff",3,-27.5873761,153.0270551
"47","Acacia Ridge","Papillon",4,-27.5873761,153.0270551
"48","Acacia Ridge","Pomeranian",4,-27.5873761,153.0270551
"49","Acacia Ridge","Poodle",13,-27.5873761,153.0270551
"50","Acacia Ridge","Poodle (Miniature)",1,-27.5873761,153.0270551
"51","Acacia Ridge","Poodle (Standard)",1,-27.5873761,153.0270551
"52","Acacia Ridge","Poodle (Toy)",6,-27.5873761,153.0270551
"53","Acacia Ridge","Pug",2,-27.5873761,153.0270551
"54","Acacia Ridge","Rhodesian Ridgeback",12,-27.5873761,153.0270551
"55","Acacia Ridge","Rottweiler",18,-27.5873761,153.0270551
"56","Acacia Ridge","Samoyed",1,-27.5873761,153.0270551
"57","Acacia Ridge","Schnauzer",1,-27.5873761,153.0270551
"58","Acacia Ridge","Schnauzer (Miniature)",1,-27.5873761,153.0270551
"59","Acacia Ridge","Shar Pei",7,-27.5873761,153.0270551
"60","Acacia Ridge","Shiba Inu",1,-27.5873761,153.0270551
"61","Acacia Ridge","Shih Tzu",11,-27.5873761,153.0270551
"62","Acacia Ridge","Siberian Husky",6,-27.5873761,153.0270551
"63","Acacia Ridge","Small Cross Breed",2,-27.5873761,153.0270551
"64","Acacia Ridge","Staffordshire Bull Terrier",79,-27.5873761,153.0270551
"65","Acacia Ridge","Tibetan Spaniel",3,-27.5873761,153.0270551
"66","Acacia Ridge","Tibetan Terrier",1,-27.5873761,153.0270551
"67","Acacia Ridge","Unknown",3,-27.5873761,153.0270551
"68","Acacia Ridge","West Highland White Terrier",3,-27.5873761,153.0270551
"69","Acacia Ridge","Whippet",2,-27.5873761,153.0270551
"70","Acacia Ridge","Yorkshire Terrier",2,-27.5873761,153.0270551
"71","Albion","Airedale Terrier",1,-27.4321115,153.0428584
"72","Albion","American Staffordshire Terrier",3,-27.4321115,153.0428584
"73","Albion","Australian Cattle Dog",8,-27.4321115,153.0428584
"74","Albion","Australian Kelpie",3,-27.4321115,153.0428584
"75","Albion","Australian Shepherd",1,-27.4321115,153.0428584
"76","Albion","Australian Silky Terrier",1,-27.4321115,153.0428584
"77","Albion","Australian Terrier",2,-27.4321115,153.0428584
"78","Albion","Basenji",2,-27.4321115,153.0428584
"79","Albion","Beagle",5,-27.4321115,153.0428584
"80","Albion","Bearded Collie",1,-27.4321115,153.0428584
"81","Albion","Bernese Mountain Dog",2,-27.4321115,153.0428584
"82","Albion","Bichon Frise",2,-27.4321115,153.0428584
"83","Albion","Border Collie",12,-27.4321115,153.0428584
"84","Albion","Border Terrier",1,-27.4321115,153.0428584
"85","Albion","Boston Terrier",2,-27.4321115,153.0428584
"86","Albion","Boxer",2,-27.4321115,153.0428584
"87","Albion","Bull Arab",1,-27.4321115,153.0428584
"88","Albion","Bulldog",2,-27.4321115,153.0428584
"89","Albion","Cairn Terrier",1,-27.4321115,153.0428584
"90","Albion","Cavalier King Charles Spaniel",14,-27.4321115,153.0428584
"91","Albion","Chihuahua",3,-27.4321115,153.0428584
"92","Albion","Chihuahua (Long Coat)",1,-27.4321115,153.0428584
"93","Albion","Chinese Crested Dog",1,-27.4321115,153.0428584
"94","Albion","Cocker Spaniel",8,-27.4321115,153.0428584
"95","Albion","Dachshund",15,-27.4321115,153.0428584
"96","Albion","Dalmatian",1,-27.4321115,153.0428584
"97","Albion","Dobermann",2,-27.4321115,153.0428584
"98","Albion","English Springer Spaniel",1,-27.4321115,153.0428584
"99","Albion","Fox Terrier",7,-27.4321115,153.0428584
"100","Albion","Fox Terrier (Smooth)",1,-27.4321115,153.0428584
